model_name,F1,ROC,acc-class-1,acc-class-2,TPR,FPR,AUC,THRE
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,-0.1
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,-0.09000000000000001
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,-0.08000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,-0.07000000000000002
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,-0.060000000000000026
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,-0.05000000000000003
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,-0.040000000000000036
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,-0.03000000000000004
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,-0.020000000000000046
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,-0.01000000000000005
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,-5.551115123125783e-17
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,0.00999999999999994
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,0.019999999999999934
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,0.029999999999999943
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,0.039999999999999925
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,0.049999999999999906
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,0.059999999999999915
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,0.06999999999999992
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,0.0799999999999999
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,0.08999999999999989
SynClass,0.3333333333333333,0.5,0.5,,"[0.         0.         0.         0.14285714 0.28571429 0.42857143
 0.57142857 0.85714286 1.         1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.71428571 0.71428571 0.85714286 1.        ]",0.4489795918367347,0.0999999999999999
