model_name,iteration,fold,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR
DecisionTree,10,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045,0.8181818181818182,0.29166666666666663
KNN,10,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898,0.18181818181818182,0.14583333333333337
OneClassSVM,10,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951,1.0,0.6875
LocalOutlierFactor,10,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194,0.7272727272727273,0.5208333333333333
IsolationForest,10,1,0.65698,0.72822,0.38095238095238093,0.9210526315789473,0.72727,0.72917,0.37128,0.7272727272727273,0.27083333333333337
Xgboost,10,1,0.56554,0.56345,0.3,0.8367346938775511,0.27273,0.85417,0.13172,0.2727272727272727,0.14583333333333337
RandomForestClassifier,11,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081,0.09090909090909091,0.02083333333333337
DecisionTree,11,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873,0.09090909090909091,0.04166666666666663
KNN,11,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873,0.09090909090909091,0.04166666666666663
OneClassSVM,11,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447,0.45454545454545453,0.1875
LocalOutlierFactor,11,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337,0.45454545454545453,0.4375
IsolationForest,11,0,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898,0.18181818181818182,0.14583333333333337
Xgboost,11,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081,0.09090909090909091,0.02083333333333337
RandomForestClassifier,11,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294,0.8181818181818182,0.39583333333333337
DecisionTree,11,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045,0.8181818181818182,0.29166666666666663
KNN,11,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898,0.18181818181818182,0.14583333333333337
OneClassSVM,11,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951,1.0,0.6875
LocalOutlierFactor,11,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194,0.7272727272727273,0.5208333333333333
IsolationForest,11,1,0.72086,0.74527,0.5,0.9111111111111111,0.63636,0.85417,0.44907,0.6363636363636364,0.14583333333333337
Xgboost,11,1,0.54096,0.54261,0.25,0.8297872340425532,0.27273,0.8125,0.08246,0.2727272727272727,0.1875
RandomForestClassifier,12,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081,0.09090909090909091,0.02083333333333337
DecisionTree,12,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873,0.09090909090909091,0.04166666666666663
KNN,12,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873,0.09090909090909091,0.04166666666666663
OneClassSVM,12,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447,0.45454545454545453,0.1875
LocalOutlierFactor,12,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337,0.45454545454545453,0.4375
IsolationForest,12,0,0.48457,0.49337,0.16666666666666666,0.8113207547169812,0.09091,0.89583,-0.01708,0.09090909090909091,0.10416666666666663
Xgboost,12,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081,0.09090909090909091,0.02083333333333337
RandomForestClassifier,12,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294,0.8181818181818182,0.39583333333333337
DecisionTree,12,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045,0.8181818181818182,0.29166666666666663
KNN,12,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898,0.18181818181818182,0.14583333333333337
OneClassSVM,12,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951,1.0,0.6875
LocalOutlierFactor,12,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194,0.7272727272727273,0.5208333333333333
IsolationForest,12,1,0.40404,0.60038,0.22727272727272727,0.9333333333333333,0.90909,0.29167,0.17956,0.9090909090909091,0.7083333333333333
