model_name,F1,ROC,acc-class-1,acc-class-2,TPR,FPR,AUC,THRE
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,-0.1
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,-0.09000000000000001
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,-0.08000000000000002
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,-0.07000000000000002
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,-0.060000000000000026
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,-0.05000000000000003
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,-0.040000000000000036
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,-0.03000000000000004
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,-0.020000000000000046
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,-0.01000000000000005
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,-5.551115123125783e-17
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,0.00999999999999994
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,0.019999999999999934
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,0.029999999999999943
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,0.039999999999999925
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,0.049999999999999906
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,0.059999999999999915
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,0.06999999999999992
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,0.0799999999999999
SynClass,0.3333333333333333,0.5,0.5,,[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.6 0.7 1. ],[0.  0.1 0.1 0.2 0.2 0.4 0.4 0.9 0.9 1.  1. ],0.33499999999999996,0.08999999999999989
