model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR
RandomForestClassifier,0,0.61538,0.60338,0.4,0.875,0.28571,0.92105,0.23846,0.2857142857142857,0.07894736842105265
DecisionTree,0,0.49248,0.49248,0.14285714285714285,0.8421052631578947,0.14286,0.84211,-0.01504,0.14285714285714285,0.1578947368421053
KNN,0,0.55,0.54511,0.3333333333333333,0.8571428571428571,0.14286,0.94737,0.13109,0.14285714285714285,0.052631578947368474
OneClassSVM,0,0.5,0.6203,0.21739130434782608,0.9090909090909091,0.71429,0.52632,0.17445,0.7142857142857143,0.4736842105263158
LocalOutlierFactor,0,0.38676,0.37406,0.0625,0.7931034482758621,0.14286,0.60526,-0.19071,0.14285714285714285,0.39473684210526316
IsolationForest,0,0.50549,0.50564,0.16666666666666666,0.8461538461538461,0.14286,0.86842,0.01202,0.14285714285714285,0.13157894736842102
Xgboost,0,0.53395,0.53195,0.25,0.8536585365853658,0.14286,0.92105,0.08139,0.14285714285714285,0.07894736842105265
RandomForestClassifier,1,0.61538,0.60338,0.4,0.875,0.28571,0.92105,0.23846,0.2857142857142857,0.07894736842105265
DecisionTree,1,0.49248,0.49248,0.14285714285714285,0.8421052631578947,0.14286,0.84211,-0.01504,0.14285714285714285,0.1578947368421053
KNN,1,0.55,0.54511,0.3333333333333333,0.8571428571428571,0.14286,0.94737,0.13109,0.14285714285714285,0.052631578947368474
OneClassSVM,1,0.5,0.6203,0.21739130434782608,0.9090909090909091,0.71429,0.52632,0.17445,0.7142857142857143,0.4736842105263158
LocalOutlierFactor,1,0.38676,0.37406,0.0625,0.7931034482758621,0.14286,0.60526,-0.19071,0.14285714285714285,0.39473684210526316
IsolationForest,1,0.53395,0.53195,0.25,0.8536585365853658,0.14286,0.92105,0.08139,0.14285714285714285,0.07894736842105265
Xgboost,1,0.53395,0.53195,0.25,0.8536585365853658,0.14286,0.92105,0.08139,0.14285714285714285,0.07894736842105265
RandomForestClassifier,2,0.61538,0.60338,0.4,0.875,0.28571,0.92105,0.23846,0.2857142857142857,0.07894736842105265
DecisionTree,2,0.49248,0.49248,0.14285714285714285,0.8421052631578947,0.14286,0.84211,-0.01504,0.14285714285714285,0.1578947368421053
KNN,2,0.55,0.54511,0.3333333333333333,0.8571428571428571,0.14286,0.94737,0.13109,0.14285714285714285,0.052631578947368474
OneClassSVM,2,0.5,0.6203,0.21739130434782608,0.9090909090909091,0.71429,0.52632,0.17445,0.7142857142857143,0.4736842105263158
LocalOutlierFactor,2,0.38676,0.37406,0.0625,0.7931034482758621,0.14286,0.60526,-0.19071,0.14285714285714285,0.39473684210526316
IsolationForest,2,0.51923,0.5188,0.2,0.85,0.14286,0.89474,0.04336,0.14285714285714285,0.10526315789473684
Xgboost,2,0.63751,0.61654,0.5,0.8780487804878049,0.28571,0.94737,0.29684,0.2857142857142857,0.052631578947368474
RandomForestClassifier,3,0.61538,0.60338,0.4,0.875,0.28571,0.92105,0.23846,0.2857142857142857,0.07894736842105265
DecisionTree,3,0.49248,0.49248,0.14285714285714285,0.8421052631578947,0.14286,0.84211,-0.01504,0.14285714285714285,0.1578947368421053
KNN,3,0.55,0.54511,0.3333333333333333,0.8571428571428571,0.14286,0.94737,0.13109,0.14285714285714285,0.052631578947368474
OneClassSVM,3,0.5,0.6203,0.21739130434782608,0.9090909090909091,0.71429,0.52632,0.17445,0.7142857142857143,0.4736842105263158
LocalOutlierFactor,3,0.38676,0.37406,0.0625,0.7931034482758621,0.14286,0.60526,-0.19071,0.14285714285714285,0.39473684210526316
IsolationForest,3,0.5954,0.59023,0.3333333333333333,0.8717948717948718,0.28571,0.89474,0.19239,0.2857142857142857,0.10526315789473684
Xgboost,3,0.63751,0.61654,0.5,0.8780487804878049,0.28571,0.94737,0.29684,0.2857142857142857,0.052631578947368474
RandomForestClassifier,4,0.61538,0.60338,0.4,0.875,0.28571,0.92105,0.23846,0.2857142857142857,0.07894736842105265
DecisionTree,4,0.49248,0.49248,0.14285714285714285,0.8421052631578947,0.14286,0.84211,-0.01504,0.14285714285714285,0.1578947368421053
KNN,4,0.55,0.54511,0.3333333333333333,0.8571428571428571,0.14286,0.94737,0.13109,0.14285714285714285,0.052631578947368474
OneClassSVM,4,0.5,0.6203,0.21739130434782608,0.9090909090909091,0.71429,0.52632,0.17445,0.7142857142857143,0.4736842105263158
LocalOutlierFactor,4,0.38676,0.37406,0.0625,0.7931034482758621,0.14286,0.60526,-0.19071,0.14285714285714285,0.39473684210526316
IsolationForest,4,0.50549,0.50564,0.16666666666666666,0.8461538461538461,0.14286,0.86842,0.01202,0.14285714285714285,0.13157894736842102
Xgboost,4,0.63751,0.61654,0.5,0.8780487804878049,0.28571,0.94737,0.29684,0.2857142857142857,0.052631578947368474
RandomForestClassifier,5,0.61538,0.60338,0.4,0.875,0.28571,0.92105,0.23846,0.2857142857142857,0.07894736842105265
